adduct,mz,rt,name
M+H,132.0655,0.7,CIS-4-HYDROXY-D-PROLINE
M+Na,154.0475,0.7,CIS-4-HYDROXY-D-PROLINE+Na
M+H,149.0444,2.16,CITRAMALATE
M+Na,171.0264,2.16,CITRAMALATE+Na
M+H,193.0343,1.81,CITRATE
source fragment,129.0185,1.81,CITRATE source fragment
source fragment,157.0133,1.81,CITRATE source fragment
source fragment,175.0238,1.81,CITRATE source fragment
M+H-H2O,175.0237,1.81,CITRATE-H2O
M+Na,215.0162,1.81,CITRATE+Na
M+NH3,210.061,1.81,CITRATE+NH3
M+H,176.103,0.73,CITRULLINE
M+H-NH3,159.0764,0.73,CITRULLINE-NH3
M+Na,198.0849,0.73,CITRULLINE+Na
M+H,324.0591,1.02,CMP
M+H-H2O,433.3312,10.81,COPROCHOLIC ACID-H2O
M+Na,473.3237,10.81,COPROCHOLIC ACID+Na
M+H,347.2217,9.26,CORTICOSTERONE
M+H,363.2166,8.48,CORTISOL
